Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,OWN
Todd Gurley (LAR),279,1305,4.7,57,8,13,64,87,788,12.3,6,2,15,319.3,21.3,100.0%
Le'Veon Bell (PIT),321,1291,4.0,27,3,9,85,106,655,7.7,2,2,15,256.6,17.1,100.0%
Kareem Hunt (KC),272,1327,4.9,69,12,8,53,63,455,8.6,3,1,16,242.2,15.1,100.0%
Alvin Kamara (NO),120,728,6.1,74,5,8,82,101,826,10.1,5,1,16,233.4,14.6,100.0%
Melvin Gordon (LAC),284,1105,3.9,87,5,8,58,83,476,8.2,4,0,16,230.1,14.4,99.9%
Mark Ingram (NO),230,1124,4.9,72,11,12,58,71,416,7.2,0,3,16,220.0,13.8,92.6%
LeSean McCoy (BUF),287,1138,4.0,48,12,6,59,77,448,7.6,2,1,16,204.6,12.8,98.9%
Leonard Fournette (JAC),268,1040,3.9,90,4,9,36,48,302,8.4,1,0,13,194.2,14.9,100.0%
Ezekiel Elliott (DAL),242,983,4.1,30,5,7,26,38,269,10.3,2,1,10,177.2,17.7,100.0%
Jordan Howard (CHI),276,1120,4.1,53,5,9,23,32,125,5.4,0,1,16,176.5,11.0,98.8%
Carlos Hyde (CLE),240,940,3.9,61,6,8,59,88,350,5.9,0,1,16,175.0,10.9,81.4%
Dion Lewis (TEN),180,896,5.0,44,7,6,32,35,214,6.7,3,0,16,165.0,10.3,93.4%
Devonta Freeman (ATL),196,865,4.4,44,5,7,36,47,317,8.8,1,1,14,164.2,11.7,99.9%
Lamar Miller (HOU),238,888,3.7,21,1,3,36,45,327,9.1,3,0,16,157.5,9.8,93.9%
Christian McCaffrey (CAR),117,435,3.7,40,1,2,80,113,651,8.1,5,1,16,148.6,9.3,99.4%
Alex Collins (BAL),212,973,4.6,50,6,6,23,36,187,8.1,0,2,15,148.0,9.9,95.7%
C.J. Anderson (CAR),245,1007,4.1,40,7,3,28,40,224,8.0,1,1,16,147.1,9.2,63.4%
Frank Gore (MIA),261,961,3.7,21,1,3,29,38,245,8.4,1,0,16,144.6,9.0,12.6%
Marshawn Lynch (OAK),207,891,4.3,51,5,7,20,31,152,7.6,0,1,15,144.3,9.6,93.8%
Latavius Murray (MIN),216,842,3.9,46,7,8,15,17,102,6.8,0,0,16,142.4,8.9,40.4%
Duke Johnson (CLE),82,348,4.2,19,0,4,74,93,693,9.4,3,2,16,142.1,8.9,73.8%
Tevin Coleman (ATL),156,630,4.0,52,6,5,27,39,299,11.1,3,0,15,140.9,9.4,89.0%
DeMarco Murray (FA),184,659,3.6,75,3,6,39,47,266,6.8,1,1,15,132.5,8.8,3.9%
Jerick McKinnon (SF),151,570,3.8,58,2,3,51,68,421,8.3,2,2,16,127.1,7.9,98.8%
Derrick Henry (TEN),176,744,4.2,75,5,5,11,17,136,12.4,1,0,16,124.0,7.8,96.0%
Bilal Powell (NYJ),178,772,4.3,75,9,5,23,33,170,7.4,0,1,15,122.2,8.1,33.1%
Javorius Allen (BAL),153,591,3.9,37,1,4,46,60,250,5.4,2,0,16,120.1,7.5,5.5%
Orleans Darkwa (FA),171,751,4.4,75,6,5,19,28,116,6.1,0,0,15,118.7,7.9,0.7%
Jamaal Williams (GB),153,556,3.6,25,1,4,25,34,262,10.5,2,0,15,117.8,7.9,73.6%
Isaiah Crowell (NYJ),206,853,4.1,59,5,2,28,42,182,6.5,0,1,16,115.5,7.2,83.6%
Chris Thompson (WAS),64,294,4.6,61,1,2,39,54,510,13.1,4,2,10,112.4,11.2,77.6%
Joe Mixon (CIN),178,626,3.5,25,2,4,30,34,287,9.6,0,2,14,111.3,8.0,98.2%
Jay Ajayi (PHI),208,873,4.2,71,6,1,24,34,158,6.6,1,2,14,111.1,7.9,96.8%
Kenyan Drake (MIA),133,644,4.8,66,7,3,32,48,239,7.5,1,2,16,110.3,6.9,97.0%
Jonathan Stewart (NYG),198,680,3.4,60,1,6,8,15,52,6.5,1,3,15,109.2,7.3,3.3%
Giovani Bernard (CIN),105,458,4.4,25,5,2,43,60,389,9.0,2,0,16,108.7,6.8,38.9%
Theo Riddick (DET),84,286,3.4,21,1,3,53,71,444,8.4,2,1,16,101.0,6.3,37.0%
Rex Burkhead (NE),64,264,4.1,31,2,5,30,36,254,8.5,3,0,10,99.8,10.0,82.8%
LeGarrette Blount (DET),173,766,4.4,68,7,2,8,8,50,6.3,1,1,16,99.6,6.2,34.3%
Ameer Abdullah (DET),165,552,3.3,34,5,4,25,35,162,6.5,1,1,14,99.4,7.1,2.3%
Tarik Cohen (CHI),87,370,4.3,46,4,2,53,71,358,6.8,1,2,16,91.6,5.7,83.6%
Samaje Perine (WAS),175,603,3.4,30,1,1,22,24,182,8.3,1,2,13,86.5,6.7,13.2%
Matt Forte (FA),103,381,3.7,20,1,2,38,46,293,7.7,1,1,12,83.4,7.0,19.1%
Matt Breida (SF),105,465,4.4,33,2,2,21,36,180,8.6,1,0,16,82.5,5.2,13.3%
Corey Clement (PHI),74,321,4.3,28,2,4,10,15,123,12.3,2,0,15,82.4,5.5,17.6%
Marlon Mack (IND),93,358,3.8,35,6,3,21,33,225,10.7,1,0,14,82.3,5.9,72.8%
Austin Ekeler (LAC),47,260,5.5,35,3,2,27,35,279,10.3,3,2,14,79.9,5.7,9.0%
James White (NE),43,171,4.0,10,0,0,56,72,429,7.7,3,0,14,78.0,5.6,45.3%
Rod Smith (DAL),55,232,4.2,45,1,4,19,23,202,10.6,1,0,13,73.4,5.6,2.4%
Aaron Jones (GB),81,448,5.5,46,6,4,9,18,22,2.4,0,0,10,71.0,7.1,51.1%
Wayne Gallman (NYG),111,476,4.3,24,2,0,34,48,193,5.7,1,1,13,70.9,5.5,1.9%
Peyton Barber (TB),108,423,3.9,34,1,3,16,19,114,7.1,0,1,13,69.7,5.4,38.3%
Ty Montgomery (GB),71,273,3.8,37,1,3,23,31,173,7.5,1,0,8,68.6,8.6,53.4%
Adrian Peterson (WAS),156,529,3.4,27,2,2,11,19,70,6.4,0,2,10,67.9,6.8,45.8%
Mike Gillislee (NE),104,383,3.7,16,0,5,1,1,15,15.0,0,1,9,67.8,7.5,0.9%
Doug Martin (OAK),138,406,2.9,27,1,3,9,18,84,9.3,0,1,11,67.0,6.1,16.0%
Alfred Morris (SF),115,547,4.8,70,4,1,7,9,45,6.4,0,0,13,65.2,5.0,1.0%
Chris Ivory (BUF),112,382,3.4,34,1,1,21,28,175,8.3,1,2,14,63.7,4.6,6.9%
J.D. McKissic (SEA),46,187,4.1,30,1,1,34,46,266,7.8,2,0,12,63.3,5.3,0.6%
Devontae Booker (DEN),79,299,3.8,26,1,1,30,38,275,9.2,0,1,13,61.4,4.7,35.1%
Elijah McGuire (NYJ),88,315,3.6,69,1,1,17,26,177,10.4,1,2,15,59.2,3.9,1.2%
Jalen Richard (OAK),56,275,4.9,52,2,1,27,36,256,9.5,1,3,16,59.1,3.7,0.8%
Kerwynn Williams (KC),120,426,3.6,25,2,1,10,15,93,9.3,0,0,16,57.9,3.6,0.6%
T.J. Yeldon (JAC),49,253,5.2,58,2,2,30,41,224,7.5,0,1,10,57.7,5.8,7.0%
Dalvin Cook (MIN),74,354,4.8,33,4,2,11,16,90,8.2,0,1,4,54.4,13.6,99.9%
DeAndre Washington (OAK),57,153,2.7,11,0,2,34,45,197,5.8,1,1,15,51.0,3.4,0.8%
D'Onta Foreman (HOU),78,327,4.2,39,3,2,6,8,83,13.8,0,1,9,51.0,5.7,13.8%
Andre Ellington (FA),20,55,2.8,14,0,1,39,59,369,9.5,0,0,11,48.4,4.4,0.6%
Charcandrick West (FA),18,72,4.0,21,1,2,27,34,150,5.6,2,0,12,46.2,3.9,0.6%
Jamaal Charles (FA),69,296,4.3,19,0,1,23,28,129,5.6,0,2,13,44.5,3.4,0.7%
Shane Vereen (NO),45,164,3.6,17,0,0,44,53,253,5.8,0,0,16,39.7,2.5,0.6%
Damien Williams (KC),46,181,3.9,69,1,0,20,28,155,7.8,1,0,10,39.6,4.0,0.7%
Robert Kelley (WAS),62,194,3.1,21,1,3,4,7,18,4.5,0,0,7,39.2,5.6,15.2%
Corey Grant (JAC),30,248,8.3,58,3,2,3,4,41,13.7,0,1,14,38.9,2.8,1.6%
Charles Sims (TB),21,95,4.5,21,1,0,35,47,249,7.1,1,1,15,38.4,2.6,0.8%
Jacquizz Rodgers (TB),64,244,3.8,36,1,1,9,11,74,8.2,0,0,16,37.8,2.4,0.7%
Alfred Blue (HOU),71,262,3.7,48,1,1,7,9,54,7.7,0,0,9,37.6,4.2,0.5%
Mike Davis (SEA),68,240,3.5,33,3,0,15,18,131,8.7,0,0,6,37.1,6.2,0.6%
Benny Cunningham (CHI),9,29,3.2,12,0,0,20,26,240,12.0,2,1,14,36.9,2.6,0.1%
Kyle Juszczyk (SF),7,31,4.4,12,0,0,33,42,315,9.5,1,2,14,36.6,2.6,0.3%
Mike Tolbert (FA),66,247,3.7,25,1,1,14,17,78,5.6,0,1,12,36.5,3.0,0.1%
Malcolm Brown (LAR),63,246,3.9,20,1,1,9,11,53,5.9,0,0,11,35.9,3.3,0.7%
Wendell Smallwood (PHI),47,174,3.7,26,2,1,13,18,103,7.9,0,0,8,33.7,4.2,0.7%
Chris Carson (SEA),49,208,4.2,30,1,0,7,8,59,8.4,1,0,4,32.7,8.2,65.4%
Tion Green (IND),42,165,3.9,33,1,2,2,2,14,7.0,0,0,5,29.9,6.0,0.1%
Elijhaa Penny (ARI),31,124,4.0,14,0,2,4,6,38,9.5,0,0,10,28.2,2.8,0.1%
Kapri Bibbs (WAS),21,79,3.8,16,0,0,14,17,128,9.1,1,0,3,26.7,8.9,0.1%
Terrance West (FA),39,138,3.5,13,0,2,2,4,23,11.5,0,1,5,26.1,5.2,0.7%
Danny Woodhead (FA),14,56,4.0,10,0,0,33,39,200,6.1,0,0,8,25.6,3.2,20.6%
Thomas Rawls (NYJ),58,157,2.7,23,1,0,9,13,94,10.4,0,1,9,23.1,2.6,0.7%
Tommy Bohanon (JAC),5,5,1.0,3,0,2,6,11,43,7.2,1,0,12,22.8,1.9,0.1%
Eddie Lacy (FA),69,179,2.6,19,0,0,6,6,47,7.8,0,0,9,22.6,2.5,0.6%
Travaris Cadet (BUF),23,96,4.2,12,0,0,16,19,119,7.4,0,0,7,21.5,3.1,0.1%
Kenjon Barner (CAR),16,57,3.6,18,0,1,5,8,56,11.2,0,0,13,17.3,1.3,0.1%
Robert Turbin (IND),23,53,2.3,7,0,1,9,11,56,6.2,0,0,6,16.9,2.8,0.6%
Stevan Ridley (PIT),26,108,4.2,21,1,1,0,0,0,0,0,0,2,16.8,8.4,0.1%
Chris Johnson (FA),45,114,2.5,11,0,0,5,6,43,8.6,0,0,4,15.7,3.9,0.6%
Cameron Artis-Payne (CAR),18,95,5.3,43,1,1,1,1,2,2.0,0,0,7,15.7,2.2,0.1%
D.J. Foster (ARI),6,19,3.2,5,0,0,17,28,133,7.8,0,0,7,15.2,2.2,0.1%
Anthony Sherman (KC),14,40,2.9,9,0,1,6,8,47,7.8,0,0,7,14.7,2.1,0.1%
James Conner (PIT),32,144,4.5,23,1,0,0,1,0,0,0,0,12,14.4,1.2,8.9%
CJ Ham (MIN),7,13,1.9,3,0,1,7,8,68,9.7,0,0,14,14.1,1.0,0.1%
Jamize Olawale (DAL),9,43,4.8,11,0,1,6,7,33,5.5,0,0,7,13.6,1.9,0.0%
Paul Perkins (NYG),41,90,2.2,14,0,0,8,10,46,5.8,0,0,8,13.6,1.7,0.6%
Jeremy Hill (NE),37,116,3.1,13,0,0,4,4,16,4.0,0,0,7,13.2,1.9,9.8%
Roosevelt Nix (PIT),3,0,0.0,1,0,1,2,3,6,3.0,1,0,10,12.6,1.3,0.1%
Fozzy Whittaker (CAR),7,18,2.6,8,0,0,5,6,47,9.4,1,0,10,12.5,1.3,0.1%
Terron Ward (FA),30,129,4.3,17,0,0,3,3,14,4.7,0,1,5,12.3,2.5,0.1%
Darren Sproles (PHI),15,61,4.1,12,0,0,7,12,73,10.4,0,1,3,11.4,3.8,6.4%
Lance Dunbar (FA),11,51,4.6,12,0,1,1,3,1,1.0,0,0,2,11.2,5.6,0.1%
C.J. Prosise (SEA),11,23,2.1,8,0,0,6,11,87,14.5,0,0,4,11.0,2.8,1.2%
Branden Oliver (IND),35,83,2.4,26,1,0,6,11,26,4.3,0,0,8,10.9,1.4,0.1%
De'Angelo Henderson (DEN),7,13,1.9,5,0,0,2,2,36,18.0,1,0,3,10.9,3.6,0.8%
Trey Edmunds (NO),9,48,5.3,41,1,1,0,0,0,0,0,0,7,10.8,1.5,0.6%
Andy Janovich (DEN),6,12,2.0,4,0,1,4,6,35,8.8,0,0,12,10.7,0.9,0.0%
Zach Line (NO),7,28,4.0,9,0,0,2,5,8,4.0,1,0,8,9.6,1.2,0.0%
Zach Zenner (DET),14,26,1.9,14,0,1,0,1,0,0,0,0,7,8.6,1.2,0.1%
Brandon Bolden (NE),13,67,5.2,20,1,0,1,4,7,7.0,0,0,8,7.4,0.9,0.0%
Brian Hill (CIN),11,37,3.4,11,0,0,2,2,36,18.0,0,0,4,7.3,1.8,0.1%
David Johnson (ARI),11,23,2.1,6,0,0,6,9,68,11.3,0,1,1,7.1,7.1,100.0%
Byron Marshall (WAS),9,32,3.6,11,0,0,6,8,36,6.0,0,0,4,6.8,1.7,0.1%
Tre Madden (SEA),0,0,0,0,0,0,2,2,65,32.5,0,0,5,6.5,1.3,0.0%
Jalston Fowler (ATL),2,4,2.0,3,0,1,0,1,0,0,0,0,3,6.4,2.1,0.0%
Derek Watt (LAC),6,24,4.0,17,0,0,2,3,35,17.5,0,0,11,5.9,0.5,0.1%
Dwayne Washington (DET),20,44,2.2,6,0,0,2,2,14,7.0,0,0,5,5.8,1.2,0.1%
Akeem Hunt (FA),8,23,2.9,11,0,0,4,7,31,7.8,0,0,14,5.4,0.4,0.1%
Aaron Ripkowski (GB),5,13,2.6,4,0,0,7,10,39,5.6,0,0,11,5.2,0.5,0.1%
Tyler Ervin (HOU),4,12,3.0,6,0,0,8,11,38,4.8,0,0,4,5.0,1.3,0.1%
Marcus Murphy (BUF),7,41,5.9,25,1,0,2,2,7,3.5,0,0,1,4.8,4.8,0.2%
Matthew Dayes (CLE),5,12,2.4,3,0,0,4,5,29,7.3,0,0,13,4.1,0.3,0.1%
Mack Brown (MIN),8,29,3.6,11,0,0,1,1,11,11.0,0,0,3,4.0,1.3,0.1%
James Develin (NE),0,0,0,0,0,0,6,10,38,6.3,0,0,8,3.8,0.5,0.0%
Fitzgerald Toussaint (PIT),6,25,4.2,7,0,0,2,3,9,4.5,0,0,3,3.4,1.1,0.1%
Senorise Perry (MIA),8,30,3.8,12,0,0,1,1,3,3.0,0,0,8,3.3,0.4,0.0%
Jay Prosch (HOU),0,0,0,0,0,0,4,4,31,7.8,0,0,6,3.1,0.5,0.0%
Derrick Coleman (ARI),2,8,4.0,5,0,0,2,7,20,10.0,0,0,13,2.8,0.2,0.1%
De'Veon Smith (WAS),0,0,0,0,0,0,3,3,27,9.0,0,0,1,2.7,2.7,0.0%
Patrick DiMarco (BUF),2,-2,-1.0,0,0,0,7,10,28,4.0,0,0,9,2.6,0.3,0.1%
Keith Smith (OAK),0,0,0,0,0,0,5,5,26,5.2,0,0,9,2.6,0.3,0.0%
Andre Williams (FA),9,25,2.8,7,0,0,0,0,0,0,0,0,2,2.5,1.3,0.0%
David Fluellen (TEN),4,21,5.3,10,0,0,0,1,0,0,0,0,7,2.1,0.3,0.0%
Josh Ferguson (FA),1,5,5.0,5,0,0,3,4,16,5.3,0,0,4,2.1,0.5,0.5%
Bobby Rainey (FA),1,2,2.0,2,0,0,5,7,18,3.6,0,0,4,2.0,0.5,0.1%
Dan Vitale (CLE),0,0,0,0,0,0,3,5,19,6.3,0,0,9,1.9,0.2,0.0%
Michael Burton (CHI),4,9,2.3,7,0,0,2,4,8,4.0,0,0,8,1.7,0.2,0.0%
Matt Jones (PHI),5,14,2.8,5,0,0,0,0,0,0,0,0,2,1.4,0.7,0.1%
LeShun Daniels (FA),3,14,4.7,8,0,0,0,0,0,0,0,0,2,1.4,0.7,0.1%
Taiwan Jones (BUF),0,0,0,0,0,0,1,2,11,11.0,0,0,5,1.1,0.2,0.0%
Raheem Mostert (SF),6,30,5.0,16,0,0,0,0,0,0,0,1,9,1.0,0.1,0.1%
Terrell Watson (LAC),5,8,1.6,3,0,0,0,0,0,0,0,0,7,0.8,0.1,0.0%
