Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
DeAndre Hopkins (HOU),96,174,1378,14.4,72,24,13,0,0,0,1,15,213.8,14.3,100.0%
Antonio Brown (PIT),101,162,1533,15.2,57,27,9,0,0,0,0,14,209.3,15.0,100.0%
Keenan Allen (LAC),102,159,1393,13.7,51,18,6,2,9,0,0,16,182.2,11.4,100.0%
Tyreek Hill (KC),75,105,1183,15.8,79,15,7,17,59,0,0,15,164.2,10.9,99.9%
Marvin Jones (DET),61,107,1101,18.0,58,20,9,0,0,0,0,16,164.1,10.3,95.7%
Julio Jones (ATL),88,148,1444,16.4,53,23,3,1,15,0,0,16,163.9,10.2,100.0%
Brandin Cooks (LAR),65,114,1082,16.6,64,18,7,9,40,0,0,16,156.2,9.8,97.2%
Michael Thomas (NO),104,149,1245,12.0,43,22,5,0,0,0,0,16,154.5,9.7,100.0%
Larry Fitzgerald (ARI),109,161,1156,10.6,37,16,6,0,0,0,1,16,152.4,9.5,99.3%
A.J. Green (CIN),75,143,1078,14.4,77,9,8,0,0,0,2,16,151.8,9.5,100.0%
Doug Baldwin (SEA),75,116,991,13.2,54,18,8,2,-8,0,0,16,150.3,9.4,98.0%
Adam Thielen (MIN),91,143,1277,14.0,65,20,4,1,11,0,2,16,148.8,9.3,99.8%
Davante Adams (GB),74,118,885,12.0,55,8,10,0,0,0,0,14,148.5,10.6,99.9%
Jarvis Landry (CLE),112,161,987,8.8,49,6,9,1,-7,0,2,16,148.0,9.3,97.7%
Alshon Jeffery (PHI),57,120,789,13.8,53,8,9,0,0,0,0,16,138.9,8.7,94.3%
Robby Anderson (NYJ),63,114,941,14.9,69,17,7,3,9,0,0,16,137.0,8.6,84.8%
Stefon Diggs (MIN),64,95,849,13.3,59,14,8,8,13,0,0,14,134.2,9.6,99.8%
JuJu Smith-Schuster (PIT),58,79,917,15.8,97,12,7,0,0,0,0,14,133.7,9.6,97.6%
Golden Tate (DET),92,120,1003,10.9,71,10,5,5,22,0,1,16,132.5,8.3,97.2%
Mike Evans (TB),71,136,1001,14.1,42,9,5,0,0,0,0,15,132.1,8.8,99.9%
Devin Funchess (CAR),63,112,840,13.3,44,15,8,0,0,0,0,16,132.0,8.3,90.9%
Nelson Agholor (PHI),62,95,768,12.4,72,9,8,1,7,0,0,16,131.5,8.2,78.8%
Demaryius Thomas (DEN),83,140,949,11.4,40,15,5,0,0,0,1,16,122.9,7.7,98.2%
T.Y. Hilton (IND),57,109,966,16.9,80,14,4,0,0,0,1,16,118.6,7.4,99.3%
Dez Bryant (FA),69,132,839,12.2,50,8,6,1,-4,0,1,16,117.5,7.3,51.7%
Kenny Stills (MIA),58,105,847,14.6,61,14,6,0,0,0,2,16,116.7,7.3,58.8%
Cooper Kupp (LAR),62,94,869,14.0,64,12,5,0,0,0,1,15,114.9,7.7,87.4%
Michael Crabtree (BAL),58,101,618,10.7,41,8,8,0,0,0,0,13,113.8,8.8,92.5%
Marquise Goodwin (SF),56,105,962,17.2,83,13,2,4,44,0,0,16,112.6,7.0,88.3%
Jermaine Kearse (NYJ),65,102,810,12.5,51,9,5,0,0,0,0,16,111.0,6.9,4.5%
Amari Cooper (OAK),48,96,680,14.2,87,9,7,1,4,0,0,14,110.4,7.9,98.7%
Mohamed Sanu (ATL),67,96,703,10.5,25,10,5,4,10,0,0,15,107.3,7.2,46.7%
Robert Woods (LAR),56,85,781,13.9,94,12,5,2,12,0,1,12,107.3,8.9,92.6%
Sammy Watkins (KC),39,70,593,15.2,67,9,8,0,0,0,0,15,107.3,7.2,92.1%
Ted Ginn (NO),53,70,787,14.8,54,15,4,10,39,0,0,15,106.6,7.1,16.9%
Paul Richardson (WAS),44,80,703,16.0,61,13,6,0,0,0,0,16,106.3,6.6,29.1%
Rishard Matthews (TEN),53,87,795,15.0,75,13,4,1,-3,0,0,14,103.2,7.4,36.0%
Mike Wallace (PHI),52,92,748,14.4,66,11,4,1,4,0,0,15,99.2,6.6,9.6%
Tyrell Williams (LAC),43,69,728,16.9,75,12,4,0,0,0,1,16,94.8,5.9,8.2%
Jamison Crowder (WAS),66,103,789,12.0,41,12,3,7,34,0,3,15,94.3,6.3,81.3%
Randall Cobb (GB),66,92,653,9.9,46,7,4,9,17,0,0,14,93.4,6.7,77.0%
Marqise Lee (JAC),56,96,702,12.5,45,6,3,1,17,0,0,13,91.9,7.1,56.7%
Keelan Cole (JAC),42,83,748,17.8,75,11,3,0,0,0,1,16,90.8,5.7,7.6%
Travis Benjamin (LAC),34,65,567,16.7,62,10,4,13,96,0,0,16,90.3,5.6,2.3%
DeSean Jackson (TB),50,90,668,13.4,41,10,3,3,38,0,0,14,88.6,6.3,42.1%
Kelvin Benjamin (BUF),48,78,692,14.4,43,10,3,0,0,0,0,14,87.2,6.2,76.3%
Sterling Shepard (NYG),59,84,731,12.4,77,7,2,4,4,0,0,11,85.5,7.8,79.0%
Will Fuller (HOU),28,50,423,15.1,59,7,7,2,9,0,0,10,85.2,8.5,90.4%
Josh Doctson (WAS),35,78,502,14.3,52,6,6,1,-14,0,0,15,84.8,5.7,49.9%
Jordy Nelson (OAK),53,88,482,9.1,58,4,6,0,0,0,0,14,84.2,6.0,87.4%
Martavis Bryant (OAK),50,84,603,12.1,51,7,3,6,22,0,0,15,82.5,5.5,21.2%
Ryan Grant (IND),45,65,573,12.7,40,10,4,0,0,0,0,16,81.3,5.1,7.1%
Danny Amendola (MIA),61,86,659,10.8,27,7,2,0,0,0,0,15,77.9,5.2,31.4%
Chris Hogan (NE),34,59,439,12.9,47,6,5,3,17,0,0,9,75.6,8.4,94.3%
Albert Wilson (MIA),42,62,554,13.2,63,4,3,3,6,0,0,13,74.0,5.7,2.3%
Tyler Lockett (SEA),45,71,555,12.3,74,5,2,10,58,0,0,16,73.3,4.6,40.7%
Devante Parker (MIA),57,96,670,11.8,36,9,1,0,0,0,0,13,73.0,5.6,65.4%
Brandon LaFell (FA),52,89,548,10.5,45,6,3,0,0,0,0,16,72.8,4.6,0.8%
Jaron Brown (SEA),31,69,477,15.4,52,12,4,0,0,0,0,16,71.7,4.5,0.9%
Adam Humphries (TB),61,83,631,10.3,43,5,1,1,6,0,1,16,67.7,4.2,0.9%
Emmanuel Sanders (DEN),47,92,555,11.8,38,11,2,0,0,0,0,12,67.5,5.6,90.2%
Kendall Wright (MIN),59,91,614,10.4,22,1,1,0,0,0,0,14,67.4,4.8,0.8%
Deonte Thompson (DAL),38,68,555,14.6,46,8,2,2,-5,0,0,16,67.0,4.2,0.6%
Kenny Golladay (DET),28,48,477,17.0,54,8,3,1,9,0,0,11,66.6,6.1,47.8%
J.J. Nelson (ARI),29,61,504,17.4,46,6,2,3,37,0,1,16,64.1,4.0,1.0%
Eric Decker (NE),54,83,563,10.4,29,5,1,0,0,0,0,16,62.3,3.9,14.3%
Jeremy Maclin (FA),40,72,440,11.0,48,3,3,0,0,0,0,12,62.0,5.2,0.7%
Allen Hurns (DAL),39,56,484,12.4,50,4,2,0,0,0,0,10,60.4,6.0,50.5%
Chris Godwin (TB),34,55,525,15.4,70,4,1,0,0,0,0,15,58.5,3.9,21.3%
Terrance Williams (DAL),53,78,568,10.7,56,6,0,2,15,0,0,16,58.3,3.6,3.0%
Cole Beasley (DAL),36,63,314,8.7,54,2,4,0,0,0,0,15,55.4,3.7,8.3%
Cordarrelle Patterson (NE),31,42,309,10.0,59,3,0,13,121,2,0,16,55.0,3.4,3.0%
Torrey Smith (CAR),36,68,430,11.9,59,6,2,1,-3,0,0,16,54.7,3.4,0.9%
Roger Lewis (NYG),36,72,416,11.6,34,6,2,0,0,0,0,15,53.6,3.6,0.6%
Bennie Fowler (CHI),29,56,350,12.1,29,5,3,0,0,0,0,15,53.0,3.5,0.6%
Trent Taylor (SF),43,60,430,10.0,33,2,2,0,0,0,1,15,53.0,3.5,1.5%
Donte Moncrief (JAC),26,47,391,15.0,60,5,2,0,0,0,0,12,51.1,4.3,10.3%
Brandon Coleman (FA),23,37,368,16.0,54,8,3,0,0,0,2,15,50.8,3.4,0.6%
Pierre Garcon (SF),40,67,500,12.5,59,6,0,0,0,0,0,8,50.0,6.3,86.9%
Brice Butler (ARI),15,23,317,21.1,53,7,3,0,0,0,0,12,49.7,4.1,0.6%
Odell Beckham Jr. (NYG),25,41,302,12.1,48,2,3,1,8,0,0,4,49.0,12.3,100.0%
John Brown (BAL),21,55,299,14.2,52,2,3,1,10,0,0,10,48.9,4.9,17.5%
Taylor Gabriel (CHI),33,51,378,11.5,40,4,1,8,49,0,0,16,48.7,3.0,1.1%
TJ Jones (DET),30,49,399,13.3,34,6,1,0,0,0,0,13,47.9,3.7,0.6%
Chris Moore (BAL),18,38,248,13.8,30,5,3,2,-9,0,0,12,47.9,4.0,0.1%
Seth Roberts (OAK),43,65,455,10.6,29,6,1,0,0,0,2,15,47.5,3.2,0.6%
Bruce Ellington (HOU),29,56,330,11.4,35,6,2,3,17,0,0,11,46.7,4.2,0.7%
Josh Bellamy (CHI),24,46,376,15.7,46,4,1,1,6,0,0,11,44.2,4.0,0.1%
Zay Jones (BUF),27,74,316,11.7,33,3,2,0,0,0,0,14,43.6,3.1,2.0%
Cody Latimer (NYG),19,31,287,15.1,32,6,2,0,0,0,0,11,42.7,3.9,0.1%
Corey Coleman (BUF),23,57,305,13.3,44,4,2,0,0,0,0,9,42.5,4.7,7.4%
Tavarres King (MIN),18,37,240,13.3,57,2,3,2,3,0,0,8,42.3,5.3,0.1%
Rashard Higgins (CLE),27,50,312,11.6,56,4,2,1,4,0,1,14,41.6,3.0,0.2%
Dontrelle Inman (FA),25,44,343,13.7,26,4,1,0,0,0,0,10,40.3,4.0,0.6%
Justin Hardy (ATL),20,29,221,11.1,27,3,3,0,0,0,0,10,40.1,4.0,0.1%
Dede Westbrook (JAC),27,51,339,12.6,29,6,1,0,0,0,0,7,39.9,5.7,9.3%
Josh Gordon (CLE),18,43,335,18.6,54,5,1,0,0,0,0,5,39.5,7.9,96.1%
Aldrick Robinson (SF),19,48,260,13.7,45,3,2,0,0,0,0,14,38.0,2.7,0.1%
Kenny Britt (NE),20,43,256,12.8,38,3,2,0,0,0,0,12,37.6,3.1,0.7%
Johnny Holton (OAK),9,18,218,24.2,64,3,3,0,0,0,2,12,35.8,3.0,0.0%
Ricardo Louis (CLE),27,61,357,13.2,37,7,0,0,0,0,0,14,35.7,2.6,0.1%
Corey Davis (TEN),34,65,375,11.0,37,4,0,0,0,0,1,11,35.5,3.2,91.8%
Chester Rogers (IND),23,37,284,12.3,61,2,1,3,8,0,0,10,35.2,3.5,0.8%
Tyler Boyd (CIN),22,32,225,10.2,49,1,2,0,0,0,0,10,34.5,3.5,1.2%
Taywan Taylor (TEN),16,28,231,14.4,53,4,1,8,43,0,0,16,33.4,2.1,9.4%
Jordan Matthews (FA),25,36,282,11.3,47,3,1,0,0,0,1,10,32.2,3.2,2.4%
Jarius Wright (CAR),18,25,198,11.0,30,3,2,0,0,0,0,12,31.8,2.7,0.1%
Jakeem Grant (MIA),13,22,203,15.6,65,3,2,3,12,0,1,15,31.5,2.1,0.6%
Terrelle Pryor (NYJ),20,37,240,12.0,44,3,1,0,0,0,0,8,30.0,3.8,5.5%
Andre Holmes (BUF),13,23,120,9.2,36,1,3,0,0,0,0,10,30.0,3.0,0.1%
Tavon Austin (DAL),14,23,52,3.7,13,0,0,58,265,1,4,14,29.7,2.1,3.9%
Mack Hollins (PHI),16,22,226,14.1,64,3,1,0,0,0,0,12,28.6,2.4,0.7%
Russell Shepard (NYG),17,33,202,11.9,40,1,1,2,19,0,0,14,28.1,2.0,0.1%
Michael Campanaro (TEN),19,27,173,9.1,18,0,1,5,42,0,0,13,27.5,2.1,0.1%
De'Anthony Thomas (KC),14,16,143,10.2,57,2,2,1,4,0,0,14,26.7,1.9,0.1%
Kendrick Bourne (SF),16,34,257,16.1,54,3,0,0,0,0,0,10,25.7,2.6,0.1%
Jeremy Kerley (BUF),22,27,217,9.9,31,2,1,0,0,0,2,8,23.7,3.0,0.6%
Damiere Byrd (CAR),10,17,105,10.5,31,2,2,1,12,0,0,8,23.7,3.0,0.1%
Alex Erickson (CIN),12,16,180,15.0,37,3,1,5,16,0,1,16,23.6,1.5,0.6%
Geronimo Allison (GB),23,39,253,11.0,72,1,0,0,0,0,1,12,23.3,1.9,6.5%
Braxton Miller (HOU),19,29,162,8.5,57,1,1,1,1,0,0,10,22.3,2.2,0.7%
Demarcus Robinson (KC),21,39,212,10.1,33,1,0,0,0,0,0,10,21.2,2.1,0.1%
Phillip Dorsett (NE),12,18,194,16.2,39,4,0,1,7,0,0,10,20.1,2.0,1.0%
Laquon Treadwell (MIN),20,35,200,10.0,25,2,0,0,0,0,0,13,20.0,1.5,1.1%
Eli Rogers (PIT),18,36,149,8.3,18,0,1,0,0,0,1,12,18.9,1.6,0.6%
Louis Murphy (FA),8,17,121,15.1,40,2,1,0,0,0,0,6,18.1,3.0,0.0%
Curtis Samuel (CAR),15,26,115,7.7,23,2,0,4,64,0,0,8,17.9,2.2,1.1%
Chris Conley (KC),11,16,175,15.9,35,3,0,0,0,0,0,5,17.5,3.5,0.6%
Tommylee Lewis (NO),10,15,116,11.6,52,2,1,2,14,0,1,14,17.0,1.2,0.1%
Josh Reynolds (LAR),11,24,104,9.5,28,1,1,0,0,0,0,10,16.4,1.6,0.6%
Jaydon Mickens (JAC),6,11,77,12.8,41,1,2,0,0,0,2,10,15.7,1.6,0.0%
Brandon Marshall (SEA),18,33,154,8.6,18,0,0,0,0,0,0,5,15.4,3.1,6.2%
Tre McBride (NYJ),8,15,144,18.0,45,3,0,0,0,0,0,5,14.4,2.9,0.0%
Jordan Taylor (DEN),13,20,142,10.9,30,2,0,0,0,0,0,10,14.2,1.4,0.1%
Brandon Tate (NO),6,14,81,13.5,24,2,1,0,0,0,0,13,14.1,1.1,0.0%
Darrius Heyward-Bey (PIT),2,3,47,23.5,44,1,0,2,32,1,0,9,13.9,1.5,0.1%
Kamar Aiken (PHI),15,44,133,8.9,21,1,0,0,0,0,0,13,13.3,1.0,0.1%
Brenton Bersin (FA),8,14,128,16.0,27,2,0,0,0,0,0,6,12.8,2.1,0.0%
Josh Malone (CIN),6,17,63,10.5,25,1,1,2,2,0,0,9,12.5,1.4,0.1%
Maurice Harris (WAS),4,6,62,15.5,36,1,1,0,0,0,0,4,12.2,3.1,0.1%
Marvin Hall (ATL),2,9,60,30.0,40,2,1,0,0,0,0,6,12.0,2.0,0.0%
Hunter Sharp (NYG),5,9,54,10.8,21,1,1,0,0,0,0,3,11.4,3.8,0.0%
ArDarius Stewart (NYJ),6,13,82,13.7,46,2,0,7,27,0,0,12,10.9,0.9,0.6%
Travis Rudolph (NYG),8,21,101,12.6,29,1,0,0,0,0,0,6,10.1,1.7,0.1%
Jaelen Strong (FA),3,4,38,12.7,19,0,1,0,0,0,0,2,9.8,4.9,0.1%
Freddie Martino (TB),5,6,96,19.2,39,1,0,0,0,0,0,7,9.6,1.4,0.0%
Mike Williams (LAC),11,23,95,8.6,20,1,0,0,0,0,0,9,9.5,1.1,43.5%
Chad Hansen (NYJ),9,16,94,10.4,24,1,0,0,0,0,0,8,9.4,1.2,0.1%
Mike Thomas (LAR),5,7,93,18.6,50,1,0,0,0,0,0,5,9.3,1.9,0.1%
Kaelin Clay (BUF),6,20,85,14.2,28,1,0,3,27,0,1,13,9.2,0.7,0.0%
Bobo Wilson (TB),1,1,18,18.0,18,0,1,3,8,0,0,3,8.6,2.9,0.0%
Kasen Williams (IND),9,18,84,9.3,14,0,0,0,0,0,0,6,8.4,1.4,0.0%
Chris Thompson (HOU),5,6,84,16.8,32,1,0,0,0,0,0,12,8.4,0.7,0.1%
Justin Hunter (PIT),4,10,23,5.8,7,0,1,0,0,0,0,5,8.3,1.7,0.1%
Trevor Davis (GB),5,7,70,14.0,29,2,0,2,13,0,0,15,8.3,0.6,0.1%
Michael Floyd (NO),10,17,78,7.8,19,0,0,0,0,0,0,10,7.8,0.8,0.1%
Breshad Perriman (BAL),10,35,77,7.7,14,0,0,0,0,0,0,11,7.7,0.7,0.6%
Brian Quick (WAS),6,8,76,12.7,31,1,0,0,0,0,0,6,7.6,1.3,0.1%
Tanner McEvoy (SEA),5,10,113,22.6,53,2,0,0,0,0,1,9,7.3,0.8,0.0%
Willie Snead (BAL),8,16,92,11.5,26,2,0,0,0,0,1,8,7.2,0.9,3.6%
Amara Darboh (SEA),8,13,71,8.9,16,0,0,0,0,0,0,8,7.1,0.9,0.6%
Brittan Golden (FA),5,9,70,14.0,29,2,0,0,0,0,0,9,7.0,0.8,0.0%
Sammie Coates (HOU),6,11,70,11.7,38,1,0,0,0,0,0,7,7.0,1.0,0.1%
Pharoh Cooper (LAR),11,19,84,7.6,26,1,0,1,6,0,1,16,7.0,0.4,1.1%
Leonte Carroo (MIA),7,14,69,9.9,21,1,0,0,0,0,0,4,6.9,1.7,0.1%
Bryce Treggs (PHI),5,18,79,15.8,20,1,0,1,6,0,1,6,6.5,1.1,0.0%
Chad Williams (ARI),3,7,31,10.3,15,0,0,2,33,0,0,5,6.4,1.3,0.7%
Vince Mayle (BAL),0,1,0,0,0,0,0,2,2,1,0,11,6.2,0.6,0.0%
Markus Wheaton (PHI),3,17,46,15.3,22,2,0,0,0,0,0,7,4.6,0.7,0.1%
Jared Abbrederis (FA),3,7,44,14.7,25,1,0,0,0,0,0,4,4.4,1.1,0.0%
Michael Clark (FA),4,14,41,10.3,19,0,0,0,0,0,0,2,4.1,2.1,0.1%
Quan Bray (HOU),3,4,39,13.0,22,1,0,0,0,0,0,9,3.9,0.4,0.0%
Bernard Reedy (TB),2,2,21,10.5,15,0,0,3,17,0,0,11,3.8,0.3,0.0%
Tanner Gentry (CHI),3,6,35,11.7,15,0,0,0,0,0,0,4,3.5,0.9,0.0%
Noah Brown (DAL),4,9,33,8.3,14,0,0,0,0,0,0,7,3.3,0.5,0.1%
JoJo Natson (LAR),2,5,18,9.0,19,0,0,1,15,0,0,7,3.3,0.5,0.1%
Nick Williams (TEN),3,4,30,10.0,14,0,0,0,0,0,0,1,3.0,3.0,0.0%
Jordan Leslie (DEN),1,1,26,26.0,26,1,0,0,0,0,0,1,2.6,2.6,0.0%
Ryan Switzer (OAK),6,7,41,6.8,12,0,0,4,5,0,1,16,2.6,0.2,0.9%
Chris Matthews (FA),3,6,25,8.3,12,0,0,0,0,0,0,4,2.5,0.6,0.0%
Marcus Johnson (SEA),5,8,45,9.0,16,0,0,0,0,0,1,6,2.5,0.4,0.1%
DeAndrew White (DEN),1,7,24,24.0,24,1,0,0,0,0,0,2,2.4,1.2,0.0%
Jehu Chesson (KC),2,4,18,9.0,10,0,0,0,0,0,0,5,1.8,0.4,0.1%
Allen Robinson (CHI),1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,96.9%
Darius Powe (FA),2,4,13,6.5,8,0,0,0,0,0,0,1,1.3,1.3,0.1%
Arrelious Benn (FA),1,2,12,12.0,12,0,0,0,0,0,0,4,1.2,0.3,0.0%
Jeff Janis (CLE),2,5,12,6.0,12,0,0,0,0,0,0,7,1.2,0.2,0.1%
Shelton Gibson (PHI),2,3,11,5.5,6,0,0,0,0,0,0,2,1.1,0.6,0.1%
Harry Douglas (FA),1,3,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%
Cobi Hamilton (IND),1,6,8,8.0,8,0,0,0,0,0,0,2,0.8,0.4,0.0%
Neal Sterling (NYJ),6,11,82,13.7,35,1,0,0,0,0,0,5,0.8,0.2,0.0%
Kevin White (CHI),2,4,6,3.0,6,0,0,0,0,0,0,1,0.6,0.6,1.4%
Eric Weems (FA),1,2,5,5.0,5,0,0,1,0,0,0,11,0.5,0.0,0.0%
Larry Pinkard (FA),1,1,5,5.0,5,0,0,0,0,0,0,2,0.5,0.3,
Max McCaffrey (SF),1,1,4,4.0,4,0,0,0,0,0,0,2,0.4,0.2,0.0%
Charone Peake (NYJ),1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.0%
Matt Hazel (IND),1,1,1,1.0,1,0,0,0,0,0,0,2,0.1,0.1,0.1%
Adam Jennings (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Austin Collie (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bobby Engram (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bobby Wade (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brandon London (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brian Clark (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chad Jackson (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Henry (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Craig Davis (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Patten (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
David Tyree (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deion Branch (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Demetrius Williams (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dennis Northcutt (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Derek Stanley (STL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Glenn Martinez (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Greg Lewis (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Javon Walker (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Joey Galloway (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
John Standeford (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jonathan Holland (OAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jordan Kent (STL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Josh Reed (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Juaquin Iglesias (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Julian Edelman (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5%
Justin Jenkins (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Keenan Burton (STL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,
